/static/assets/win.mp3:1  Failed to load resource: the server responded with a status of 404 (Not Found)
 Moles updated, visible moles: 2, Game Time: 11.65s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 16.07s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 2, Game Time: 16.08s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 2, Game Time: 16.10s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 2, Game Time: 16.12s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 2, Game Time: 16.13s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 2, Game Time: 16.15s, Max Visible: 1, Max Appear Duration: 920ms
 fast Mole disappeared at: (500, 200), Time: 1728401467042, Duration: 933ms
 Moles updated, visible moles: 2, Game Time: 16.17s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.18s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.20s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.22s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.23s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.25s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.27s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.28s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.30s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.32s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.33s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.35s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.37s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.38s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.40s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.42s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.43s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.45s, Max Visible: 1, Max Appear Duration: 920ms
 normal Mole disappeared at: (300, 333.33333333333337), Time: 1728401467343, Duration: 934ms
 Moles updated, visible moles: 1, Game Time: 16.47s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 16.48s, Max Visible: 1, Max Appear Duration: 920ms
 normal Mole appeared at: (300, 200), Time: 1728401467376, Game Time: 16.50s, Appear Duration: 2000ms
 Moles updated, visible moles: 0, Game Time: 16.50s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.52s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.53s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.55s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.57s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.58s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.60s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.62s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.63s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.65s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.67s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.68s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.70s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.72s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.73s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.75s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.77s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.78s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.80s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.82s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.83s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.85s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.87s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.88s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.90s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.92s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.93s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.95s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.97s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 16.98s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.00s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.02s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.03s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.05s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.07s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.08s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.10s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.12s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.13s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.15s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.17s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.18s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.20s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.22s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.23s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.25s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.27s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.28s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.30s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.32s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.33s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.35s, Max Visible: 1, Max Appear Duration: 920ms
 normal Mole hit at: (323, 185.1999969482422), Score: 16
 Moles updated, visible moles: 0, Game Time: 17.37s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 17.38s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 17.40s, Max Visible: 1, Max Appear Duration: 920ms
 normal Mole appeared at: (500, 66.66666666666667), Time: 1728401468292, Game Time: 17.42s, Appear Duration: 2000ms
 Moles updated, visible moles: 0, Game Time: 17.42s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.43s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.45s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.47s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.48s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.50s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.52s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.53s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.55s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.57s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.58s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.60s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.62s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.63s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.65s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.67s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.68s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.70s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.72s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.73s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.75s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.77s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.78s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.80s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.82s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.83s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.85s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.87s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.88s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.90s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.92s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.93s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.95s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.97s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 17.98s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.00s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.02s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.03s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.05s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.07s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.08s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.10s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.12s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.13s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.15s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.17s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.18s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.20s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.22s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.23s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.25s, Max Visible: 1, Max Appear Duration: 920ms
 normal Mole hit at: (497, 57.19999694824219), Score: 17
 Moles updated, visible moles: 0, Game Time: 18.27s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 18.28s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 18.30s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 18.32s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 18.33s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 18.35s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 18.37s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 18.38s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 18.40s, Max Visible: 1, Max Appear Duration: 920ms
 normal Mole appeared at: (100, 333.33333333333337), Time: 1728401469293, Game Time: 18.42s, Appear Duration: 2000ms
 Moles updated, visible moles: 0, Game Time: 18.42s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.43s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.45s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.47s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.48s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.50s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.52s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.53s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.55s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.57s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.58s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.60s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.62s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.63s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.65s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.67s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.68s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.70s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.72s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.73s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.75s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.77s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.78s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.80s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.82s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.83s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.85s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.87s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.88s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.90s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.92s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.93s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.95s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.97s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 18.98s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.00s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.02s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.03s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.05s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.07s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.08s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.10s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.12s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.13s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.15s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.17s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.18s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.20s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.22s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.23s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.25s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.27s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.28s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.30s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.32s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.33s, Max Visible: 1, Max Appear Duration: 920ms
 normal Mole disappeared at: (100, 333.33333333333337), Time: 1728401470226, Duration: 933ms
 Moles updated, visible moles: 1, Game Time: 19.35s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 19.37s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 19.38s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 19.40s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 19.42s, Max Visible: 1, Max Appear Duration: 920ms
 golden Mole appeared at: (300, 333.33333333333337), Time: 1728401470309, Game Time: 19.43s, Appear Duration: 750ms
 Moles updated, visible moles: 0, Game Time: 19.43s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.45s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.47s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.48s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.50s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.52s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.53s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.55s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.57s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.58s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.60s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.62s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.63s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.65s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.67s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.68s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.70s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.72s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.73s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.75s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.77s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.78s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.80s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.82s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.83s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.85s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.87s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.88s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.90s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.92s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.93s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.95s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.97s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 19.98s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.00s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.02s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.03s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.05s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.07s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.08s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.10s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.12s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.13s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.15s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.17s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.18s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.20s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.22s, Max Visible: 1, Max Appear Duration: 920ms
 golden Mole hit at: (308, 320.1999969482422), Score: 22
 Moles updated, visible moles: 0, Game Time: 20.23s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 20.25s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 20.27s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 20.28s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 20.30s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 0, Game Time: 20.32s, Max Visible: 1, Max Appear Duration: 920ms
 normal Mole appeared at: (300, 333.33333333333337), Time: 1728401471209, Game Time: 20.33s, Appear Duration: 2000ms
 Moles updated, visible moles: 0, Game Time: 20.33s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.35s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.37s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.38s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.40s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.42s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.43s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.45s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.47s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.48s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.50s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.52s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.53s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.55s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.57s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.58s, Max Visible: 1, Max Appear Duration: 920ms
 Moles updated, visible moles: 1, Game Time: 20.60s, Max Visible: 1, Max Appear Duration: 920ms
